"ObjectID","Title","ConstituentID","Date","Medium","Dimensions","CreditLine","AccessionNumber","Classification","Department","DateAcquired","Cataloged","URL","Circumference (cm)","Depth (cm)","Diameter (cm)","Height (cm)","Length (cm)","Weight (kg)","Width (cm)","Seat Height (cm)","Duration (sec.)"
"76230","Red Chief","[4400]","1963","Lithograph","composition (slightly irreg.): 16 1/4 x 12 1/16"" (41.2 x 30.6cm); sheet: 18 3/8 x 14"" (46.6 x 35.6cm)","Gift of Kleiner, Bell & Co.","1268.1967","Print","Drawings & Prints","1969-12-04","Y","http://www.moma.org/collection/works/76230","","","","41.2","","","30.6","",""
"76226","BLACK CHRIST II","[4400]","(November 13-December 7) 1963","Lithograph, printed in color","composition  30 x 22 3/16"" (76.2 x 56.4 cm)
sheet  30 x 22 3/16"" (76.2 x 56.4 cm)","Gift of Kleiner, Bell & Co.","1266.1967","Print","Drawings & Prints","1969-12-04","N","","","","","76.2","","","56.4","",""
"7675","Delion","[2404]","1895","Lithograph","49 1/2 x 74 1/2"" (125.7 x 189.2 cm)","Anonymous gift","597.1954","Design","Architecture & Design","1954-12-16","Y","http://www.moma.org/collection/works/7675","","","","125.7302515","","","189.2303785","",""
"149515","Popular Print ""Le Baiser Matinal""","[26617]","1997","Two photostatic prints","Sheet: 9 5/8 x 13 3/16"" (24.5 x 33.5 cm)","Gift of the artist","526.2005.2","Print","Drawings & Prints","2005-06-02","N","","","","","24.5","","","33.5","",""
"16529","Plate (folio 6 verso) from JEUX DE TRAMES","[5625]","1962","","irreg. composition  13 7/8 x 10 5/8"" (35.3 x 27 cm)","Gift of The Contemporaries, Inc.","387.1962.1","Illustrated Book","Drawings & Prints","1962-12-11","N","","","","","35.3","","","27.0","",""
"7714","Alfieri & Lacroix Tipolitozincografica in Milano Propone la Communicazione nell'Induzione Grafica","[2340]","1965","Offset lithograph","38 3/16 x 26 3/4"" (97.1 x 68 cm)","Gift of the designer","605.1981","Design","Architecture & Design","1981-12-10","Y","http://www.moma.org/collection/works/7714","","","","97.1","","","68.0","",""
"66791","ACT UP Art Box","[6105, 5564, 597, 3045, 7460, 710, 5486, 6602]","1993–94, published 1994","Multiple of wooden box with stamped ink and paint additions, containing objects in various media","overall (closed): 5 1/8 x 24 x 13 15/16"" (13.0 x 60.9 x 35.4 cm)","Gift of Agnes Gund","316.1994.1-7","Multiple","Drawings & Prints","1994-05-26","Y","http://www.moma.org/collection/works/66791","","35.4","","13.0","","","60.9","",""
"122639","Art & Project Bulletin #144","[40879]","1985","One from a set of 156 offset printed bulletins, exhibition copy","sheet (each): 11 5/8 x 16 9/16"" (29.6 x 42 cm)","Art & Project/Depot VBVR Gift","1099.2007.142","Print","Drawings & Prints","2007-11-12","N","","","","","29.6","","","42.0","",""
"27443","Sodom. 10 risunkov iz tsikla, ""Narcotique""","[23983]","1924","","Plate (each): 7 x 5 1/8"" (17.8 x 13 cm)","Gift of The Judith Rothschild Foundation","897.2001","Illustrated Book","Drawings & Prints","2001-01-24","N","","","","","17.8","","","13.0","",""
"67680","Hair (La chevelure) from L'Estampe Moderne, Number 19","[6706]","published November 1898","Lithograph from a portfolio of four lithographs","","Mr. and Mrs. E. Powis Jones Fund","360.1958.2","Print","Drawings & Prints","1958-12-19","N","","","","","","","","","",""
